kode_buku,judul,jilid,isbn,pengarang,class_id,tmp_penerbit,penerbit,tahun_terbit,stok_buku,sisa_exemplar,deskripsi,cover
BK000015,Aneka Soto Nusantara,-,978-979-1477-87-1,Siti Fatimah,61,Jakarta,Kriya Pustaka,2008,3,3,-,
BK000016,"200 Tip Anti Gagal Membuat Kue, Cake & Roti",-,-,Purbo Yudowinoto,61,Jakarta,Kriya Pustaka,2008,4,4,-,
BK000017,Variasi Sambal Nusantara,-,978-979-1477-89-5,Sri Loebis,61,Jakarta,Kriya Pustaka,2009,4,4,-,
BK000018,Bisnis Manis Masakan Rumahan,-,978-979-1477-98-7,Wied Harry Apriadji,61,Jakarta,Kriya Pustaka,2010,4,4,-,
BK000019,Hidangan Favorit Berkuah,-,979-1133-19-0,Budi Sutomo,61,Jakarta,Puspa Swara,2006,4,4,-,
BK000020,Hidangan Istimewa Siomay & Batagor,-,978-979-1477-13-0,Siti Fatimah,61,Jakarta,Kriya Pustaka,2008,4,4,-,
BK000021,Hidangan Istimewa Sup & Soto,-,978-979-1477-17-8,Yeni Ismayani,61,Jakarta,Kriya Pustaka,2008,5,5,-,
BK000022,Penyejuk Hati,-,978-602-70404-1-0,Muhiburrahman Abu Zafirah,81,Solo,Taujih,2014,4,4,-,
BK000023,Melon,-,-,Tim Redaksi,61,Surakarta,Delta Media,2009,5,5,-,
BK000024,Pembenihan Lele,-,978-602-8603-06-5,Didik Efendi,61,Surakarta,Delta Media,2009,2,2,-,
BK000025,Bawang Merah,-,978-602-8603-08-9,Sudarmanto,61,Surakarta,Delta Media,2009,5,5,-,
BK000026,Buku Aktivitas Anak Islam,-,-,K. Budininsih,21,Surakarta,Al Quds Publishin,2013,3,3,-,
BK000027,Mengenal Sistem Pemerintahan,-,-,Qomarudin,31,Surakarta,PT Widya Duta Grafika,2010,4,4,-,
BK000028,Tata Surya,-,979-517-444-4,"Khamim, S.Pd",51,Surakarta,PT Widya Duta Grafika,2009,3,3,-,
BK000029,The Forbidden Country,-,-,"Dr Saiful Bahri, M.A.",31,Surakarta,PT Widya Duta Grafika,2014,4,4,-,
BK000030,Aneka Olahan Bebek,-,978-602-18047-2-8,Nining Prikasih,61,Bandung,PT Ikhlas Media,2012,4,4,-,
BK000031,Teknik dan Kunci Dasar Wing Chun Traditional IP MAN,-,978-602-2957-502-6,Martin Kusuma,61,Bandung,CV Visi Aulia Jaya,2012,4,4,-,
BK000032,Bahasa Indonesia: Berbasis Kepenulisan Karya Ilmiah dan Jurnal,-,-,"Dr E. Kosasih, M.Pd., Drs Wawan Hermawan, M.Pd",41,Bandung,Thursina,2012,4,4,-,
BK000033,Doa dzikir & wirid sehari-hari: menurut Al-Qur'an & As-Sunnah,-,-,Sa'id bin Ali Wahf Al-Qathani,21,Sukoharjo,Insan Kamil,2006,3,3,-,
BK000034,Mengungkap Tabir Otak Tengah,-,978-602-9014-04-4,"Pramita Gayatri, Nani Nuraeni",31,Yoygakarta,Pustaka Rama,2011,4,4,-,
BK000035,Diary Ramadhan: Mengetuk Pintu Ar-Rayyan,-,978-602-14674-1-1,"Aisya Avicenna, Keisya Avicenna",21,Semarang,DNA Creative House,2014,3,3,-,
BK000036,Ensiklopedia Hikmah,-,978-602-8171-16-8,Ibnu Abdul Bari El-Afifi,21,Sukoharjo,Kuttab Publishing,2016,2,2,-,
BK000037,Powerful Muhammad S.A.W,-,-,Sonny Sandy,21,Jakarta,Powerful Publishing,2013,5,5,-,
BK000038,Seri Kesenian: Perjalanan Musik Legendaris 1,-,979-517-530-0,"Iwan Setiawan, Adi Asmara",71,Surakarta,PT Widya Duta Grafika,2007,4,4,-,
BK000039,Karena Engkau Istri Sholihah,-,-,Insan Kamil Al Bantagi,21,Surakarta,Grazzo Media,2016,3,3,-,
BK000040,Hafalan Buyar Tanda Tak Pintar,-,978-602-8171-13-7,Ibnul Jauzi,21,Sukoharjo,Kuttab Publishing,2016,4,4,-,
BK000041,Gila Baca ala Ulama,-,-,Ali Bin Muhammad Al'Imran,21,Solo,Kuttab Publishing,2016,4,4,-,
BK000042,Lika Ahli Logika,-,979-602-17466-0-8,Raymond,51,Solo,Toko Surya,2012,4,4,-,
BK000043,Seri Kesenian: Kesenian Dearah dan Lagu-lagu Daerah,-,-,Cendi Yuliana,71,Surakarta,PT Widya Duta Grafika,2008,4,4,-,
BK000044,Puyuh,-,978-602-8603-15-7,"Tri Harjanto, S. Si",61,Surakarta,Delta Media,2009,4,4,-,
BK000045,Rahasia Panjang Umur,-,602-17096-4-0,Muhammad Mahmud Abdullah,30,Solo,Al Hambo,2012,4,4,-,
BK000046,Teka Teki Geblek Asal Goblek,-,-,Cerry Anastasia,81,Solo,Aksara Media,2010,6,6,-,
BK000047,Seri IPS (Ekonomi) Sejarang Uang,-,979-517-545-9,Erna Susilowati,31,Surakarta,PT Widya Duta Grafika,2007,3,3,-,
BK000048,Curhat Bersama Nabi,-,978-602-96886-0-3,Adil Fathi Abdullah,21,Solo,Al Bayan,2010,3,3,-,
BK000049,Rias Wajah,-,978-602-14085-0-6,Bobbu Hardika,31,Magelang,Magelang Ekspress,2013,4,4,-,
BK000050,Anak Bos Lebay,-,-,Muhtadi Kadi,81,Yogyakarta,Pustaka Rama,2011,5,5,-,
